Term,Definition
Naturalization,The process of becoming a citizen of a country.
Eligible / Eligibility,Meet the requirements to do something.
Current,The present time.
Aliases,Different names you use.
Maiden name,The last name of a woman before marriage.
Nickname,Informal name that people call you.
Legal / Legally,Allowed by the law.
Lawful,Legal.
Country of Nationality,The country where you are a citizen.
Physical disability,Limitation on a person's body functions such as blindness.
Developmental disability,Mental or physical problems that begin before adulthood.
Mental impairment,A person's mind is not working properly such as Alzheimer's.
Prevent,To stop something from happening.
Demonstrate,To show.
Exempt or Exemption,Not required.
Residence,Where you live.
Physical address,Address of where you live.
Mailing address,Address of where you receive your mail.
In Care of name,Name of someone at an address that is not yours.
Marital Status,Whether you are married or not.
Spouse,Husband or wife.
Single,Never married.
Married,Having a husband or wife.
Divorced,Married in the past but not anymore.
Widowed,Your spouse died and you have not remarried.
Separated,Still married but not living together (usually in the process of getting a divorce.)
Marriage annulled,Marriage that is declared invalid.
Previous marriage,The marriage before the current marriage.
Prior spouse,Ex-husband or ex-wife.
Stepchild,Child from your spouse's ex-spouse.
Legally adopted child,Child who is legally taken by another family as their own.
Occupation,Job.
Employer,The company that hires you.
Self-employed,Work for yourself.
Unemployed,No job.
Have you ever,Anywhere in the world at anytime.
Claim,To say something without proof.
Claim to be a U.S. citizen,To say you are a U.S. citizen.
Register,To sign up.
Vote,To choose a leader.
Register to vote,Sign up to choose a leader.
Owe,Need to pay.
Overdue,Late for a payment.
Overdue taxes,Didn’t pay taxes on time.
File a tax return,Send a tax form to the government.
Nonresident,Someone who doesn’t live in the U.S.
Alien,Someone who is not a U.S. citizen.
Associated with,Connected to.
Involved in,Took part in.
The Communist Party,A group that believes the government should own and control everything.
Totalitarian party,A group that believes the government should control everything people do.
Advocate,To support and promote.
Opposition,Going against something.
Establishment,Starting or creating a group.
Overthrow,To remove a government by force.
Unconstitutional means,Methods that go against the Constitution.
Unlawful,Against the law.
Assault,To attack violently.
Sabotage,To intentionally damage or destroy something.
Weapon,A knife or a gun.
Explosive,A bomb.
With intent,Purposely.
Engage,To participate.
Kidnapping,Taking someone away illegally by force.
